x, y_data, y_fit
1,77.0,76.90031252349632
2,77.5,77.013135884944
3,77.1,77.11104911766253
4,77.1,77.19565586885149
5,77.1,77.26844896854861
6,77.15,77.33081593804918
7,77.2,77.38404429525946
8,77.25,77.42932666245959
9,77.3,77.46776568184816
10,77.35,77.50037874413952
11,77.4,77.52810253538408
12,77.45,77.55179740708321
13,77.5,77.57225157457219
14,77.55,77.59018514854743
15,77.6,77.60625400451943
16,77.65,77.62105349487766
17,77.7,77.63512200816082
18,77.75,77.64894438003344
19,77.8,77.66295516037906
20,77.85,77.67754174083002
21,77.9,77.69304734696574
22,77.95,77.70977389932293
23,78.0,77.72798474727558
24,77.87,77.74790727975669
25,77.73,77.76973541670931
26,77.6,77.79363198507184
27,77.7,77.81973098301998
28,77.8,77.84813973610689
29,77.9,77.87894094886333
30,78.0,77.91219465534051
31,78.1,77.94794007200063
32,78.07,77.98619735628365
33,78.03,78.02696927410277
34,78.0,78.0702427794466
35,78.4,78.11599050919291
36,78.6,78.16417219616524
37,78.8,78.21473600339326
38,79.0,78.26761978246662
39,78.5,78.32275225880258
40,78.4,78.38005414657941
41,78.45,78.43943919602006
42,78.5,78.50081517564375
43,78.37,78.56408479203816
44,78.23,78.62914654963996
45,78.1,78.69589555294786
46,78.4,78.76422425353016
47,78.56,78.83402314412649
48,78.71,78.90518140208347
49,78.87,78.9775874843036
50,79.03,79.05112967582835
51,79.19,79.12569659411838
52,79.34,79.20117765103682
53,79.5,79.27746347448549
54,79.38,79.35444629158913
55,79.25,79.43202027526786
56,79.13,79.51008185598559
57,79.0,79.5885300004088
58,79.2,79.66726645865936
59,78.2,79.74619598179387
60,79.0,79.82522651109234
61,79.3,79.90426934069013
62,80.3,79.98323925503922
63,80.23,80.062054642637
64,80.15,80.1406375874152
65,80.08,80.21891393913565
66,80.0,80.29681336409456
67,80.27,80.37426937739365
68,80.53,80.4512193579933
69,80.8,80.52760454772016
70,80.6,80.60337003536091
71,80.4,80.67846472693262
72,80.5,80.75284130318056
73,80.66,80.82645616531542
74,80.82,80.89926936996295
75,80.98,80.97124455426246
76,81.14,81.04234885201275
77,81.3,81.11255280172932
78,80.6,81.18183024743979
79,81.12,81.2501582330118
80,81.63,81.31751689077257
81,82.15,81.38388932514648
82,82.67,81.44926149200533
83,83.18,81.51362207439344
84,83.7,81.57696235525972
85,83.9,81.63927608779795
86,83.05,81.7005593639673
87,82.2,81.76081048173681
88,82.4,81.82002981156808
89,82.1,81.87821966262463
