x, y_data, y_fit
256,84.8,85.14548807746061
257,85.0,85.20199688040152
258,85.2,85.25939421759786
259,85.4,85.31762227522107
260,86.4,85.37662069242289
261,85.4,85.43632663749015
262,85.3,85.49667489124967
263,86.5,85.55759793801992
264,87.7,85.61902606383087
265,86.9,85.68088746213299
266,86.5,85.7431083470354
267,86.1,85.8056130739953
268,86.05,85.86832426784798
269,86.0,85.93116295844602
270,86.7,85.99404872349454
271,86.1,86.05689983883117
272,86.1,86.11963343589612
273,86.1,86.18216566633782
274,86.9,86.24441187379945
275,86.6,86.30628677236706
276,86.5,86.36770463205129
277,87.5,86.42857947076473
278,87.1,86.48882525264489
279,86.7,86.5483560927701
280,87.7,86.60708646773999
281,87.47,86.66493143203871
282,87.23,86.72180683996814
283,87.0,86.77762957256053
284,87.5,86.83231776972214
285,86.9,86.8857910664668
286,86.65,86.9379708337724
287,86.4,86.98878042295337
288,87.8,87.03814541347735
289,88.1,87.08599386382103
290,87.5,87.13225656458509
291,87.0,87.17686729394819
292,86.5,87.21976307417368
293,85.4,87.26088442935692
294,86.3,87.3001756432245
295,87.2,87.33758501701794
296,88.1,87.37306512602065
297,87.65,87.40657307473927
298,87.2,87.43807074994146
299,86.1,87.46752507008915
300,86.5,87.49490823161558
301,86.9,87.52019795003221
302,87.3,87.54337769595527
303,87.0,87.56443692442345
304,87.5,87.58337129731561
305,88.7,87.60018289720824
306,88.15,87.61488043197552
307,87.6,87.62747942969025
308,87.55,87.63800242141824
309,87.5,87.64647911193445
310,87.37,87.65294653699034
311,87.23,87.65744920542684
312,87.1,87.66003922538775
313,86.3,87.66077641326376
314,86.78,87.65972838377863
315,87.26,87.65697062010516
316,87.74,87.65258652270572
317,88.22,87.64666743470625
318,88.7,87.63931264319945
319,88.35,87.63062935460563
320,88.0,87.62073264172514
321,87.65,87.60974536232132
322,87.3,87.5977980458394
323,87.32,87.58502874779974
324,87.33,87.57158286921151
325,87.35,87.55761293952375
326,87.36,87.54327836144826
327,87.38,87.5287451141492
328,87.39,87.514185415403
329,87.41,87.4997773379967
330,87.42,87.48570437950428
331,87.44,87.47215498338767
332,87.45,87.45932200797168
333,87.47,87.4474021426209
334,87.48,87.43659526697249
335,87.5,87.42710375201322
336,87.52,87.41913169967421
337,87.53,87.41288411894286
338,87.55,87.40856603519919
339,87.56,87.4063815305324
340,87.58,87.40653271199932
341,87.59,87.40921860475669
342,87.61,87.4146339673744
343,87.62,87.42296802685337
344,87.64,87.43440312834693
345,87.65,87.4491132987994
346,87.67,87.46726271974562
347,87.68,87.4890041063187
348,87.7,87.5144769888597
349,87.72,87.5438058942148
350,87.73,87.57709842263863
351,87.75,87.61444321699946
352,87.76,87.65590781976557
353,87.78,87.70153641535671
354,87.79,87.75134745265022
355,87.81,87.80533114456847
356,87.82,87.86344683967728
357,87.84,87.92562026363576
358,87.85,87.99174062295275
359,87.87,88.061657570468
360,87.88,88.13517802521181
361,87.9,88.21206284408169
362,88.1,88.29202333904357
363,88.3,88.37471763691656
364,88.5,88.45974687562867
365,88.7,88.54665123212179
366,88.77,88.63490577868512
367,88.84,88.72391615927705
368,88.91,88.81301408438989
369,88.99,88.90145263638352
370,89.06,88.988401381324
371,89.13,89.07294128157491
372,89.2,89.15405940275741
373,89.13,89.23064341113007
374,89.07,89.30147585324423
375,89.0,89.3652282144952
376,89.18,89.42045474820883
377,89.36,89.46558607061478
378,89.54,89.49892251546187
379,89.72,89.51862724013476
380,89.9,89.52271908025813
381,89.7,89.50906514190278
382,89.5,89.47537312828042
383,89.17,89.41918339245638
384,88.83,89.33786070895205
385,88.5,89.22858575756321
386,88.87,89.08834631303019
387,89.23,88.9139281318173
388,89.6,88.70190552924606
R-squared: 0.9801732822695366Coefficients: [ 7.67708589e+01  1.38372533e-01 -9.23112081e-03  3.17564971e-04
 -5.35747778e-06  5.21878214e-08 -3.13876571e-10  1.18100861e-12
 -2.70032367e-15  3.42349005e-18 -1.84286919e-21]
